iter	Passed	Remaining
553	1970	1586
554	1973	1582
555	1975	1577
556	1978	1573
557	1981	1569
558	1983	1565
559	1990	1563
560	1993	1559
561	1996	1555
562	1998	1551
563	2000	1546
564	2003	1542
565	2006	1538
566	2008	1533
567	2010	1529
568	2012	1524
569	2014	1519
570	2017	1516
571	2020	1511
572	2022	1507
573	2024	1502
574	2026	1497
575	2028	1493
576	2030	1488
577	2034	1485
578	2036	1481
579	2038	1476
580	2041	1472
581	2043	1468
582	2046	1463
583	2049	1459
584	2051	1455
585	2054	1451
586	2056	1446
587	2058	1442
588	2060	1437
589	2064	1434
590	2066	1430
591	2068	1425
592	2070	1421
593	2072	1416
594	2074	1412
595	2078	1409
596	2081	1405
597	2083	1400
598	2085	1395
599	2087	1391
600	2089	1386
601	2092	1383
602	2095	1379
603	2097	1374
604	2099	1370
605	2101	1366
606	2103	1361
607	2105	1357
608	2109	1354
609	2110	1349
610	2112	1345
611	2114	1340
612	2116	1336
613	2119	1332
614	2122	1328
615	2125	1324
616	2127	1320
617	2129	1316
618	2131	1311
619	2133	1307
620	2135	1303
621	2138	1299
622	2141	1295
623	2143	1291
624	2145	1287
625	2147	1283
626	2150	1279
627	2153	1275
628	2155	1271
629	2157	1267
630	2159	1263
631	2161	1258
632	2163	1254
633	2167	1251
634	2169	1246
635	2171	1242
636	2173	1238
637	2175	1234
638	2177	1229
639	2179	1225
640	2182	1222
641	2184	1218
642	2186	1214
643	2188	1209
644	2190	1205
645	2192	1201
646	2195	1197
647	2198	1194
648	2200	1190
649	2202	1185
650	2204	1181
651	2206	1177
652	2208	1173
653	2211	1169
654	2213	1165
655	2215	1162
656	2218	1158
657	2221	1154
658	2223	1150
659	2226	1146
660	2228	1143
661	2231	1139
662	2233	1135
663	2235	1131
664	2238	1127
665	2241	1124
666	2244	1120
667	2247	1116
668	2249	1113
669	2252	1109
670	2255	1106
671	2258	1102
672	2260	1098
673	2262	1094
674	2264	1090
675	2266	1086
676	2269	1082
677	2272	1079
678	2275	1075
679	2277	1071
680	2279	1067
681	2281	1063
682	2283	1059
683	2287	1056
684	2289	1052
685	2291	1048
686	2293	1044
687	2295	1040
688	2297	1036
689	2300	1033
690	2302	1029
691	2304	1025
692	2307	1022
693	2308	1018
694	2310	1014
695	2312	1010
696	2316	1007
697	2319	1003
698	2320	999
699	2322	995
700	2324	991
701	2326	987
702	2329	984
703	2332	980
704	2335	977
705	2337	973
706	2340	969
707	2342	966
708	2346	962
709	2348	959
710	2350	955
711	2352	951
712	2354	947
713	2357	944
714	2379	948
715	2382	944
716	2384	941
717	2386	937
718	2388	933
719	2390	929
720	2393	926
721	2395	922
722	2397	918
723	2399	914
724	2401	910
725	2403	907
726	2407	904
727	2409	900
728	2411	896
729	2413	892
730	2415	888
731	2417	885
732	2419	881
733	2423	878
734	2425	874
735	2428	870
736	2430	867
737	2432	863
738	2435	860
739	2438	856
740	2440	853
741	2443	849
742	2446	846
743	2450	843
744	2454	840
745	2457	836
746	2459	833
747	2461	829
748	2463	825
749	2467	822
750	2469	818
751	2471	815
752	2473	811
753	2475	807
754	2477	803
755	2479	800
756	2483	797
757	2485	793
758	2487	789
759	2489	786
760	2491	782
761	2493	778
762	2496	775
763	2499	772
764	2501	768
765	2503	764
766	2505	761
767	2507	757
768	2511	754
769	2513	750
770	2516	747
771	2518	743
772	2521	740
773	2523	736
774	2526	733
775	2529	730
776	2531	726
777	2533	722
778	2535	719
779	2537	715
780	2539	712
781	2543	708
782	2545	705
783	2547	701
784	2549	698
785	2551	694
786	2553	691
787	2557	688
788	2559	684
789	2561	680
790	2563	677
791	2565	673
792	2567	670
793	2570	666
794	2573	663
795	2575	660
796	2577	656
797	2579	652
798	2581	649
799	2583	645
800	2586	642
801	2588	639
802	2590	635
803	2592	632
804	2594	628
805	2596	624
806	2599	621
807	2603	618
808	2605	615
809	2607	611
810	2609	608
811	2612	604
812	2615	601
813	2618	598
814	2619	594
815	2621	591
816	2623	587
817	2625	584
818	2627	580
819	2630	577
820	2633	574
821	2635	570
822	2637	567
823	2639	563
824	2641	560
825	2644	557
826	2647	553
827	2649	550
828	2651	546
829	2653	543
830	2655	539
831	2657	536
832	2660	533
833	2662	529
834	2664	526
835	2667	523
836	2669	519
837	2671	516
838	2674	513
839	2677	509
840	2679	506
841	2681	503
842	2683	499
843	2684	496
844	2686	492
845	2691	489
846	2694	486
847	2696	483
848	2698	479
849	2700	476
850	2702	473
851	2706	470
852	2708	466
853	2710	463
854	2712	460
855	2714	456
856	2716	453
857	2719	450
858	2722	446
859	2725	443
860	2726	440
861	2728	436
862	2730	433
863	2732	430
864	2736	427
865	2738	423
866	2741	420
867	2744	417
868	2747	414
869	2754	411
870	2756	408
871	2758	404
872	2760	401
873	2764	398
874	2767	395
875	2769	392
876	2771	388
877	2773	385
878	2775	382
879	2777	378
880	2782	375
881	2784	372
882	2786	369
883	2788	365
884	2790	362
885	2792	359
886	2796	356
887	2798	353
888	2801	349
889	2803	346
890	2805	343
891	2808	339
892	2812	336
893	2814	333
894	2816	330
895	2818	327
896	2820	323
897	2822	320
898	2825	317
899	2827	314
900	2829	310
901	2831	307
902	2833	304
903	2835	301
904	2837	297
905	2841	294
906	2843	291
907	2845	288
908	2847	285
909	2849	281
910	2851	278
911	2854	275
912	2856	272
913	2858	269
914	2860	265
915	2862	262
916	2864	259
917	2867	256
918	2870	253
919	2872	249
920	2874	246
921	2876	243
922	2879	240
923	2881	236
924	2884	233
925	2889	230
926	2892	227
927	2895	224
928	2899	221
929	2902	218
930	2904	215
931	2906	212
932	2908	208
933	2910	205
934	2914	202
935	2916	199
936	2918	196
937	2920	193
938	2922	189
939	2924	186
940	2927	183
941	2930	180
942	2932	177
943	2934	174
944	2936	170
945	2938	167
946	2940	164
947	2943	161
948	2945	158
949	2947	155
950	2949	151
951	2951	148
952	2953	145
953	2956	142
954	2959	139
955	2961	136
956	2963	133
957	2965	130
958	2967	126
959	2969	123
960	2973	120
961	2975	117
962	2977	114
963	2979	111
964	2981	108
965	2983	105
966	2987	101
967	2990	98
968	2992	95
969	2994	92
970	2997	89
971	2999	86
972	3003	83
973	3005	80
974	3007	77
975	3009	74
976	3011	70
977	3013	67
978	3018	64
979	3020	61
980	3022	58
981	3024	55
982	3027	52
983	3028	49
984	3031	46
985	3034	43
986	3036	39
987	3038	36
988	3040	33
989	3042	30
990	3044	27
991	3048	24
992	3050	21
993	3052	18
994	3054	15
995	3056	12
996	3058	9
997	3062	6
998	3064	3
999	3066	0
